sample_id;inv_nr;sub_nr;site_id;sweref_x;sweref_y;latitude;longitude;parish;color;hue;munsell_hue;munsell_value;material;point_type;artefact;type;find_context;patina;texture_1;texture_2;luster;sediment;foliation;topgraphy;homogeneity;inclusion;max_width_mm;max_length_mm;max_height_mm;weight_g
54;2550;1;Åsele 115;7118200;614649;64.17;17.36;Åsele;Gray;Dark;N2; ;Quartzite;lanceolate;Arrowhead;Point;Stray find;No;Massive;Fine-grained;Waxy;None;None;Fine;Yes;;20;44;7;8
55;2550;2;Åsele 115;7118200;614649;64.17;17.36;Åsele;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Stray find;No;Massive;Fine-grained;Waxy;None;None;Smooth;No;Bands of quartz;23;48;9;11
56;2550;4;Åsele 115;7118200;614649;64.17;17.36;Åsele;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Stray find;No;Granular;Medium-grained;Bright vitreous;None;None;Conchoidal;Yes;;18;24;7;2
57;2550;5;Åsele 115;7118200;614649;64.17;17.36;Åsele;Translucent;Colourless;; ;Quartzite;straight base;Point;Point;Stray find;No;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;18;21;6;4
58;2550;6;Åsele 115;7118200;614649;64.17;17.36;Åsele;Dark yellow;Dark;7.5Y; 3/4;Quartzite;straight base;Point;Point;Stray find;Yes;Massive;Fine-grained;Bright vitreous;None;None;Conchoidal;Yes;;17;12;4;2
152;2479;2;Åsele 182;7120412;600842;64.2;17.08;Åsele;White streaked with black;Dark;N3; ;Quartzite;;Point preform;Preform;Survey;Yes;Granular;Fine-grained;Dull;None;None;Conchoidal;No;Dark mineral inclusion;44;76;19;63
153;2482;15;Åsele 182;7120412;600842;64.2;17.08;Åsele;Brown;Dark;5Y; 4/3;Quartzite;;Point preform;Preform;Survey;No;Granular;Medium-grained;Waxy;None;None;Conchoidal;No;Dark mineral inclusion;42;91;25;125
167;17938;14;Åsele 393;7117732;614540;64.17;17.36;Åsele;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Excavation;No;Granular;Fine-grained;Dull;None;None;Smooth;Yes;;31;33;10;11
168;21592;1;Åsele 129;7116373;615774;64.15;17.38;Åsele;Black;Dark;N1; ;Quartzite;;Point preform;Preform;Excavation;No;Granular;Medium-grained;Waxy;None;None;Fine;Yes;;28;41;11;12
169;21592;6;Åsele 129;7116373;615774;64.15;17.38;Åsele;Gray;Dark;N1; ;Quartzite;;Point preform;Preform;Excavation;Yes;Granular;Medium-grained;Waxy;None;None;Conchoidal;Yes;;23;19;17;3
