sample_id;reading_no;duration;time;user;sigma_value;units;batch;heat;lot;note_xrf;sample_measurement_id;mode;Bal;Mg;Al;Si;P;S;Cl;K;Ca;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Pd;Ag;Cd;Sn;Sb;Ba;Hf;Ta;W;Re;Au;Hg;Ti;Pb;Bi;Th;U
54;679;130.09;m�n feb 17, 2020 - 11:11:21;User;2;%;;;;;54;Mining;57.5725;;0.3819;40.5732;0.0837;0.2879;0.5319;0.2533;0.0983;;0.0037;;0.0488;;;0.0007;0.0016;0.0002;;0.0005;0.0002;0.0001;0.0137;;;;;;0.0006;;0.012;;;;;;;0.0382;0.0021;;;
55;680;132.55;m�n feb 17, 2020 - 11:14:28;User;2;%;;;;;55;Mining;54.1851;;0.5447;43.9839;0.04;0.0648;0.6425;0.1905;0.0322;;0.0039;;0.1241;;;;;;;;0.0005;;0.0044;;;;;;;;0.009;;;;;;;0.0133;;;;
56;681;131.54;m�n feb 17, 2020 - 11:17:37;User;2;%;;;;;56;Mining;57.243;;0.4123;41.1504;0.0422;0.0805;0.4932;0.1686;0.0473;;0.0015;;0.1458;;;;0.0003;;;;;;0.009;;;;;;;;0.0079;;;;;;;0.0441;;;0.0002;
57;682;132.4;m�n feb 17, 2020 - 11:20:36;User;2;%;;;;;57;Mining;55.506;;0.5054;43.4256;0.0381;0.0538;0.2095;0.0816;0.0414;;0.0079;;0.0233;;;;0.001;;;;;;;;;;;;;;0.0045;;;;;;;0.0043;;;;
58;683;133.07;m�n feb 17, 2020 - 11:23:32;User;2;%;;;;;58;Mining;54.7174;0.3578;1.6538;42.3016;0.0588;0.0628;0.3597;0.2932;0.0379;;0.0036;;0.1277;;;;;;;0.0005;0.002;;0.0007;;;0.0003;;0.0005;0.0004;;0.0072;;;;;;;0.0124;;;;
152;779;134.74;tis feb 18, 2020 - 13:03:37;User;2;%;;;;;152;Mining;59.5418;;1.1548;38.3991;0.0548;0.0786;0.2076;0.196;0.0881;0.0006;;;0.0647;;;;;;;0.0001;0.0029;;0.0013;;;;;;0.0009;;0.0138;;;;;;;0.0204;;;;
153;780;132.97;tis feb 18, 2020 - 13:07:17;User;2;%;;;;;153;Mining;0.021;;4.2519;91.4807;1.0509;0.8968;0.5625;0.8226;0.2965;;0.0146;0.1913;0.0127;0.0044;;;;;;;;;;;;;;;0.0057;;0.1836;;;;;;;0.2048;;;;
167;794;134.33;tis feb 18, 2020 - 13:52:56;User;2;%;;;;;167;Mining;57.8659;0.4005;2.2106;38.0325;0.1915;0.179;0.539;0.3333;0.0675;;0.0044;;0.1132;;;;;0.0002;;;0.0023;;0.0043;;;;;;0.001;;0.0129;;;;;;;0.0419;;;0.0001;
168;796;133.05;tis feb 18, 2020 - 13:56:37;User;2;%;;;;;168;Mining;54.9421;0.2252;1.1208;43.2094;0.1178;0.069;0.0118;0.1055;0.0278;;0.0043;;0.1004;;;;0.0006;0.0002;;0.0002;0.0004;;0.0063;;;;;;0.0007;;0.0148;;;;;;;0.0413;0.0013;;;
169;797;132.79;tis feb 18, 2020 - 13:59:56;User;2;%;;;;;169;Mining;54.0463;0.2809;0.7398;44.4105;0.0721;0.0407;0.0714;0.0722;0.0129;;0.0034;;0.1112;;;;;;;;0.0004;;0.0177;;;;;;;;0.005;;;;;;;0.1152;;;0.0002;
170;798;131.67;tis feb 18, 2020 - 14:03:04;User;2;%;;;;;170;Mining;54.8846;0.2956;1.2097;42.8347;0.1611;0.0717;0.1179;0.177;0.0437;;0.0037;0.0143;0.1359;;;;;;;0.0003;0.0002;;0.0041;;;;;;;;0.003;;;;;;;0.0423;;;;
171;799;132.28;tis feb 18, 2020 - 14:06:15;User;2;%;;;;;171;Mining;60.0412;;0.6173;38.5737;;0.0209;0.0211;0.5066;0.0124;;0.0004;;0.0107;;;;;;;0.001;0.0002;;0.0008;;;;;;;;0.0178;;;;;;;0.0233;;;;
172;800;133.29;tis feb 18, 2020 - 14:09:24;User;2;%;;;;;172;Mining;56.661;;0.4162;42.3554;0.0344;0.0472;0.1887;0.1027;0.0243;;0.0038;;0.0457;;;;;;;;0.0008;;0.0011;;;;;;0.0007;;0.0093;;;;;;;0.1087;;;;
173;801;133.3;tis feb 18, 2020 - 14:14:08;User;2;%;;;;;173;Mining;56.0355;;0.9622;42.4465;0.1148;0.0523;0.0869;0.119;0.0263;;0.0021;;0.039;;;;;;;;;;;;;;;;;;0.0021;;;;;;;0.0176;;;;
174;802;131.76;tis feb 18, 2020 - 14:17:07;User;2;%;;;;;174;Mining;59.1231;;2.4956;36.597;0.2822;0.0514;0.3907;0.4822;0.0807;0.0005;0.0039;0.0205;0.2012;;;;0.0004;;;;0.0014;;0.0082;;;;;;;;0.0026;;;;;;;0.0658;;;;
175;803;132.6;tis feb 18, 2020 - 14:20:10;User;2;%;;;;;175;Mining;56.1271;;1.0277;42.3906;0.0292;0.0473;0.076;0.1913;0.0104;;0.0034;;0.0154;;;;;;;0.0005;0.0016;;0.001;;;;;;;;0.0193;;;;;;;0.0134;0.0006;;;
176;804;132.27;tis feb 18, 2020 - 14:23:11;User;2;%;;;;;176;Mining;55.5705;0.4727;0.7666;42.6495;0.0648;0.0474;0.0953;0.1344;0.0312;;0.0036;;0.1152;;;;;;;0.0001;0.0001;;0.0034;;;;;;;;0.0041;;;;;;;0.0411;;;;
177;805;133.4;tis feb 18, 2020 - 14:26:46;User;2;%;;;;;177;Mining;54.1257;0.41;1.844;43.2815;0.0491;0.0599;0.0457;0.1014;0.0202;;0.0025;;0.0307;;;;;;;0.0001;0.0025;;0.0014;;;;;;;;0.0091;;;;;;;0.0161;;;;
